2012-04-23 22:51:33.906883	here is another note!
2012-04-23 22:51:36.138918	here is another note!
2012-04-23 22:51:57.891351	something
2012-05-20 16:11:27.141027	test
2012-05-20 16:49:30.360699	test 1
2012-05-20 17:00:34.855042	test 1 -- retry
2012-05-20 17:02:23.930948	test 1 -- retry finished
2012-05-20 17:08:35.045172	test 2
2012-05-20 17:09:33.569010	test 2 -- retry
2012-05-20 17:16:20.925267	test 3
2012-05-20 17:18:17.248624	test 3 end
2012-05-20 17:30:43.355955	test 4
2012-05-20 17:35:40.632102	test 4 failed
2012-05-20 17:35:51.127084	test 4 retry
2012-05-20 17:37:59.114339	test 4 retry end
